number_of_vehicles,sex_of_driver,urban_or_rural_area,light_conditions,road_type,vehicle_left_hand_drive,first_point_of_impact,age_band_of_driver,age_of_vehicle,driver_home_area_type,vehicle_manoeuvre,road_surface_conditions,age_of_driver,accident_sev_Serious,accident_sev_Slight
2,1.0,1,1,3,1.0,3,8.0,7.0,1.0,6.0,1,46.0,0,1
5,1.0,1,4,6,1.0,1,6.0,10.0,3.0,18.0,2,34.0,1,0
2,1.0,1,4,1,1.0,2,7.0,9.0,1.0,3.0,2,45.0,0,1
2,3.0,1,1,9,9.0,1,8.0,12.0,1.0,99.0,1,52.0,0,1
3,1.0,1,4,3,1.0,2,8.0,2.0,1.0,18.0,1,52.0,0,1
2,1.0,1,4,6,1.0,1,4.0,8.0,1.0,18.0,1,18.0,1,0
2,2.0,1,1,6,2.0,1,7.0,1.0,1.0,17.0,2,44.0,0,1
2,1.0,1,4,9,9.0,2,8.0,8.0,1.0,99.0,9,50.0,0,1
2,1.0,1,4,6,1.0,1,8.0,5.0,1.0,18.0,1,50.0,0,1
2,1.0,1,1,6,9.0,2,6.0,2.0,1.0,99.0,1,30.0,0,1
2,2.0,1,1,6,1.0,1,7.0,5.0,1.0,9.0,1,44.0,0,1
3,2.0,1,1,3,1.0,2,6.0,10.0,1.0,18.0,2,35.0,0,1
2,1.0,1,1,7,1.0,1,6.0,5.0,1.0,7.0,1,27.0,0,1
