number_of_vehicles,sex_of_driver,urban_or_rural_area,light_conditions,road_type,vehicle_left_hand_drive,first_point_of_impact,age_band_of_driver,age_of_vehicle,driver_home_area_type,vehicle_manoeuvre,road_surface_conditions,age_of_driver,accident_sev_Serious,accident_sev_Slight
1,3.0,1,1,6,9.0,9.0,8.0,3.0,1.0,99.0,1,53.0,0,1
2,2.0,1,1,1,9.0,3.0,8.0,14.0,1.0,99.0,1,53.0,0,1
2,1.0,1,1,2,1.0,9.0,6.0,4.0,1.0,99.0,2,30.0,0,1
3,2.0,1,1,3,1.0,1.0,5.0,12.0,1.0,18.0,2,22.0,0,1
2,2.0,1,1,2,9.0,1.0,5.0,7.0,1.0,99.0,2,25.0,0,1
1,1.0,1,4,6,1.0,1.0,4.0,5.0,1.0,18.0,2,20.0,1,0
3,1.0,1,1,3,1.0,1.0,6.0,3.0,1.0,18.0,1,27.0,0,1
2,1.0,1,4,6,1.0,3.0,8.0,4.0,1.0,5.0,1,51.0,0,1
2,2.0,1,1,6,1.0,3.0,7.0,3.0,1.0,9.0,1,44.0,0,1
2,1.0,1,1,6,1.0,4.0,6.0,5.0,1.0,5.0,1,33.0,0,1
1,2.0,1,4,2,1.0,1.0,6.0,1.0,1.0,16.0,2,29.0,0,1
1,1.0,1,4,3,1.0,2.0,8.0,10.0,1.0,18.0,1,51.0,1,0
2,2.0,1,1,3,1.0,3.0,6.0,2.0,1.0,18.0,1,33.0,0,1
2,1.0,1,1,6,1.0,1.0,5.0,8.0,1.0,18.0,1,22.0,0,1
3,1.0,1,1,6,1.0,1.0,5.0,3.0,1.0,9.0,2,22.0,1,0
2,1.0,1,1,3,1.0,1.0,7.0,1.0,1.0,18.0,2,36.0,0,1
2,1.0,1,4,3,1.0,2.0,8.0,8.0,1.0,3.0,1,51.0,0,1
2,2.0,1,4,6,1.0,2.0,6.0,3.0,1.0,6.0,2,31.0,0,1
2,1.0,1,1,6,1.0,2.0,6.0,13.0,1.0,18.0,1,30.0,0,1
1,1.0,1,4,6,1.0,1.0,7.0,1.0,1.0,18.0,2,43.0,0,0
2,1.0,1,1,2,9.0,1.0,6.0,12.0,1.0,18.0,1,26.0,0,1
2,1.0,1,4,7,9.0,3.0,7.0,2.0,1.0,99.0,1,45.0,0,1
2,1.0,1,4,3,1.0,3.0,7.0,5.0,1.0,18.0,2,37.0,0,1
2,1.0,1,1,1,1.0,1.0,6.0,15.0,1.0,5.0,1,35.0,0,1
1,2.0,1,4,6,1.0,1.0,8.0,2.0,1.0,18.0,1,50.0,0,1
2,2.0,1,4,3,1.0,3.0,8.0,12.0,1.0,3.0,1,49.0,0,1
2,1.0,1,4,6,1.0,2.0,6.0,4.0,1.0,4.0,1,29.0,0,1
2,2.0,1,1,2,1.0,2.0,6.0,8.0,1.0,5.0,1,31.0,0,1
2,2.0,1,1,6,1.0,1.0,8.0,6.0,1.0,6.0,2,46.0,0,1
2,1.0,1,1,6,2.0,1.0,7.0,7.0,1.0,4.0,1,44.0,0,1
1,2.0,1,1,6,1.0,2.0,4.0,10.0,1.0,1.0,1,19.0,0,1
2,1.0,1,1,9,1.0,9.0,7.0,7.0,1.0,99.0,2,40.0,0,1
